condition,gene_a,gene_b,lfc,base_lfc_a,base_lfc_b,guide_pairs,pair_z_score_gene_a_anchor,pair_z_score_gene_b_anchor,pair_z_score,p_value,fdr_bh
MOLM13_14,ACACA,GSX2,-0.7361838277252074,-0.6685931429786102,-0.9657306780424616,3,2.253335665796109,-0.41593494198619624,1.29923851156306,0.19386208877297773,0.4817293128232135
MOLM13_14,ACACB,GSX2,0.011629338191374869,-0.04387173884533224,-0.9657306780424616,3,4.043981096391673,0.46245344320445053,3.186530421921696,0.0014399034379978368,0.02700489458719693
MOLM13_14,ACAT1,GSX2,-0.12409145564607142,0.012698096598999934,-0.9657306780424616,3,3.0153194233737697,-0.4767709494491411,1.7950248402828664,0.07264974232566547,0.2988914957219686
MOLM13_14,ACLY,GSX2,-2.0766065957566977,-1.9422873709044925,-0.9657306780424616,3,-0.03773401645360478,-1.2842126893152153,-0.9347574800163504,0.349913296913253,0.6396430499252189
MOLM13_14,ACO1,GSX2,0.1385180899156261,0.145821725608721,-0.9657306780424616,3,3.8852241223653294,0.2274890087863545,2.908127344112314,0.0036360024250430174,0.05024587283430504
MOLM13_14,ACSL4,GSX2,-0.7001275034441404,-0.42495973470525206,-0.9657306780424616,3,1.8048770135214711,-1.3532662406640676,0.3193370399443676,0.7494709480265171,0.9067997475625532
MOLM13_14,AGPAT1,GSX2,-0.27489132849929593,-0.1370291665007574,-0.9657306780424616,3,3.128682903497676,-0.5449296456102457,1.8269894495650363,0.06770135572122807,0.287081452137586
MOLM13_14,AGPAT2,GSX2,0.1767759182140458,0.11576530748845543,-0.9657306780424616,3,3.8290422294105038,0.5569868340520098,3.101390893255625,0.0019261383998457344,0.031309190852394385
MOLM13_14,AMFR,GSX2,-0.15021421584738448,-0.007941620289833038,-0.9657306780424616,3,2.7949913394526336,-0.5128839056582952,1.6136936418322063,0.106593893764764,0.3643972698185128
MOLM13_14,C12orf49,GSX2,-0.298358823853222,-0.19947245333408023,-0.9657306780424616,3,4.334703400826442,-0.3759332215258998,2.7992732389424977,0.005121777657941352,0.061535560557005514
MOLM13_14,CAPN3,GSX2,-0.22771120220857619,-0.05813467553224353,-0.9657306780424616,3,2.915706625030649,-0.6706638136598742,1.5874849959743857,0.11240284250036098,0.37649275326383536
MOLM13_14,CDIPT,GSX2,-1.37022138902337,-1.6230423683956854,-0.9657306780424616,3,1.0730891390522102,0.7883688694555553,1.3162495807098469,0.18809028742663048,0.4751261192149097
MOLM13_14,CDS2,GSX2,-1.4594075800868065,-2.0743317219294273,-0.9657306780424616,3,1.4171329876847207,2.4124513520820012,2.707925055774856,0.006770530947935077,0.07336954452076051
MOLM13_14,CHP1,GSX2,0.5522693879790453,0.7153340188391404,-0.9657306780424616,3,2.759837677549713,-0.3137038511035377,1.7296778163698876,0.08368785428919061,0.32419266918569634
MOLM13_14,CPT1A,GSX2,0.029484536724806294,-0.09221009907812805,-0.9657306780424616,3,3.9223243013291538,0.7736649256868229,3.32056582680197,0.0008983517108665603,0.020687043564121623
MOLM13_14,CPT2,GSX2,-0.1497760246717672,-0.07850773800243217,-0.9657306780424616,3,2.672886365106015,-0.18690239766519617,1.75785612129844,0.07877199341469192,0.31319895703011796
MOLM13_14,CRLS1,GSX2,-1.9295550764023595,-2.2757445497720363,-0.9657306780424616,3,1.1020745198707964,0.9822293989124702,1.4738254350253428,0.14052859815653948,0.42699287113921136
MOLM13_14,CYB5B,GSX2,-1.2619636378914774,-1.1196543916934114,-0.9657306780424616,3,1.2977984758352268,-0.9792581708973092,0.22524200970283223,0.8217910099804793,0.9332393798271471
MOLM13_14,DERL2,GSX2,-0.011795531332700874,0.12002931777084298,-0.9657306780424616,3,3.464286358742846,-0.40690010736369187,2.1618985510567184,0.030625996719486747,0.18383721068632422
MOLM13_14,FABP3,GSX2,0.22409875095848544,0.1501907807375876,-0.9657306780424616,3,4.453067270768993,0.6360099395941939,3.5985210054297276,0.0003200320060426093,0.009714002457917105
MOLM13_14,FABP5,GSX2,-1.0420731536814334,-1.1520414771883667,-0.9657306780424616,3,2.349903591961741,0.2705077410313129,1.8529106230574686,0.06389517023764105,0.28142236922637925
MOLM13_14,FABP6,GSX2,0.3237477730811282,0.23765191615325895,-0.9657306780424616,3,3.613194800832459,0.7337203883770923,3.073733207532878,0.002113983900326953,0.033701781795597005
MOLM13_14,FASN,GSX2,-0.010621845285352297,0.043576943275232725,-0.9657306780424616,3,2.1650833093168305,-0.05022678056753816,1.4954293927152673,0.1348024143391184,0.4174875284215209
MOLM13_14,G6PD,GSX2,0.02342083588822168,-0.03179531800773833,-0.9657306780424616,3,3.9328395057925114,0.4660907961815292,3.1105134464928312,0.001867623922829221,0.031193254997201537
MOLM13_14,GLS,GSX2,-0.2987757291473702,-0.5586088071753288,-0.9657306780424616,3,3.444676851227795,1.269848271681047,3.3336726844831834,0.0008570745099144208,0.020014500527297318
MOLM13_14,GLS2,GSX2,-0.29104564768226004,-0.038371920741949665,-0.9657306780424616,3,2.53226984869683,-1.0785078176799747,1.0279649903635464,0.3039662963309129,0.5992581680340708
MOLM13_14,GLUD1,GSX2,0.014715576863027971,0.009928061546004369,-0.9657306780424616,3,3.1479955120274052,0.231052402735197,2.389347694482899,0.01687832045953497,0.13076754823321954
MOLM13_14,GOT1,GSX2,-0.48767668152621946,-0.4714953803574735,-0.9657306780424616,3,3.172209737835289,-0.07583685417976117,2.189466263114968,0.02856296804514863,0.1748135365448444
